"title","orgName","subDeptName","bidValue","publishDate","detailUrl","inquiryDeadline","bidDeadline","bidDeadlineTime","bidDeadlineDaysLeft","inquiryDeadlineDaysLeft","keyword"
"صيانة وتامين قطع غيار لمركبات رسمية متعرضة لحوادث مروريه تابعة لإدارة دوريات الامن بمنطقة المدينة ال ...","الأمن العام ( الإدارة العامة لدوريات الأمن)","الإدارة العامة لدوريات الأمن","200","2025-10-03","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=oQuyuXryqWm*@@**CSal2%20Yx2w==","2025-10-30","2025-10-30","07:00",-18,-18,"مرور"
"اصلاح حادث مروري 3 (GS25620032)","ادارة الشؤون الفنية المركزية بمنطقة القصيم","ادارة الشؤون الفنية المركزية بمنطقة القصيم","200","2025-10-02","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=LP5oK0Z%20DiriqeEs8jFwvg==","2025-10-04","2025-10-06","09:59",-42,-44,"مرور"
"صيانة وتأمين قطع غيار لمركبات رسمية متعرضة لحوادث مرورية تابعة لإدارة دوريات الأمن بمنطقة تبوك","الأمن العام ( الإدارة العامة لدوريات الأمن)","الإدارة العامة لدوريات الأمن","200","2025-10-02","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=jhhgIiz05qXTdoLL3eQIsA==","2025-10-12","2025-10-12","10:00",-36,-36,"مرور"
"صيانة وتأمين قطع غيار لمركبات رسمية متعرضة لحوادث مرورية تابعة لإدارة دوريات الأمن بمحافظة جدة","الأمن العام ( الإدارة العامة لدوريات الأمن)","الإدارة العامة لدوريات الأمن","200","2025-10-02","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=Gyu20lI2aXSI8cK%2002eBEQ==","2025-10-03","2025-10-05","09:59",-43,-45,"مرور"
"توريد قطع غيار الإشارات المرورية (إعادة طرح)","الادارة العامة لمشروع ينبع","مدينة ينبع الصناعية  -  إدارة المشتريات  -  قسم المشتريات","700","2025-10-01","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=6fpuOlIiMA8KZ*@@**FiABC46Q==","2025-10-13","2025-10-22","09:59",-26,-35,"مرور"
"تأمين وتركيب وإصلاح وصيانة عدد (4) سيارة لإدارة مرور منطقة الشرقية","الأمن العام ( الإدارة العامة للمرور)","الإدارة العامة للمرور","200","2025-09-30","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=BLI1n7PqbVqNdm6Hk7DuGA==","2025-10-14","2025-10-15","08:00",-33,-34,"مرور"
"تأمين وتركيب وإصلاح وصيانة عدد [5] سيارة لإدارة مرور العاصمة المقدسة","الأمن العام ( الإدارة العامة للمرور)","الإدارة العامة للمرور","200","2025-09-30","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=vl*@@**zZPKJX1Dnta6J8jmr0A==","2025-10-14","2025-10-15","08:00",-33,-34,"مرور"
"صيانة وتأمين قطع غيار لمركبات رسمية متعرضة لحوادث مرورية تابعة لإدارة دوريات الأمن بمنطقة الرياض","الأمن العام ( الإدارة العامة لدوريات الأمن)","الإدارة العامة لدوريات الأمن","200","2025-09-30","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=i15IPBzjppYlmjzOqACyWg==","2025-10-01","2025-10-03","09:59",-45,-47,"مرور"
"صيانة وتأمين قطع غيار لمركبات رسمية متعرضة لحوادث مرورية تابعة لإدارة دوريات الأمن بمنطقة الباحة","الأمن العام ( الإدارة العامة لدوريات الأمن)","الإدارة العامة لدوريات الأمن","200","2025-09-29","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=mVPWaRdTZEFmtJTo4xlY%20g==","2025-10-06","2025-10-06","10:00",-42,-42,"مرور"
"صيانة وتأمين قطع غيار لمركبة رسمية متعرضة لحادث مروري تابعة لإدارة دوريات الأمن بمنطقة الحدود الشمال ...","الأمن العام ( الإدارة العامة لدوريات الأمن)","الإدارة العامة لدوريات الأمن","200","2025-09-29","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=qgGWKJOnySj5AZhIZU3NoA==","2025-10-06","2025-10-06","10:00",-42,-42,"مرور"
